sys_id,number,short_description,description,state,impact,urgency,priority,category,subcategory,assignment_group,caller_id,opened_at,updated_at,close_code,resolution_notes,business_service,_test_scenario,_expected_category,_expected_ticket_type,_expected_required_skills,_expected_technology,_expected_support_level,_expected_assignment_group,_expected_agent_action
b610b20f684b1f6e336d6eba1d3939cf,INC1000001,Account locked after password attempts - SITE-A,EMP1000 reports account locked after password attempts at SITE-A. The issue started 1 hour(s) ago on MICRO-120. A restart did not change the behavior. 3 users or sessions may be affected.,New,2,3,4,Access,Account lockout,Identity and Access,EMP1000,2026-01-05T07:30:00Z,2026-01-05T09:30:00Z,,,Workforce Identity,common,Access,incident,"[""identity administration"",""account recovery""]",Microsoft Entra ID,L1,Identity and Access,"Verify caller identity, unlock the account, and confirm sign-in."
5add70f4b27e465076928ac161798bf0,INC1000002,VPN disconnects during video calls - SITE-B,"EMP1037 reports vpn disconnects during video calls at SITE-B. The issue started 2 hour(s) ago on CISCO-121. A retry briefly helped, but the symptom returned. 4 users or sessions may be affected.",In Progress,1,2,2,Network,Remote access VPN,Network Operations,EMP1037,2026-01-06T02:30:00Z,2026-01-06T05:30:00Z,,,Remote Access,common,Network,incident,"[""VPN troubleshooting"",""network analysis""]",Cisco Secure Client,L2,Network Operations,"Collect client logs, check tunnel stability, and apply the approved client profile fix."
495ec4e9d5ed901e306cd1c3fd87567b,INC1000003,Database latency spikes during order settlement - SITE-C,EMP1074 reports database latency spikes during order settlement at SITE-C. The issue started 3 hour(s) ago on POSTG-122. A restart did not change the behavior. 5 users or sessions may be affected.,On Hold,2,3,4,Database,Performance,Database Platform,EMP1074,2026-01-06T21:30:00Z,2026-01-07T01:30:00Z,,,Order Management,common,Database,incident,"[""database performance engineering"",""query optimization""]",PostgreSQL,L3,Database Platform,"Escalate with query plans, wait-event metrics, and the correlated workload window for engineering analysis."
1b59363e1a89e152861602aa9ffa2316,INC1000004,Laptop cannot detect USB-C dock - SITE-D,"EMP1111 reports laptop cannot detect usb-c dock at SITE-D. The issue started 4 hour(s) ago on USBCD-123. A retry briefly helped, but the symptom returned. 6 users or sessions may be affected.",Resolved,2,3,4,Hardware,Docking station,End User Computing,EMP1111,2026-01-07T16:30:00Z,2026-01-07T21:30:00Z,Solved (Permanently),Dock firmware was updated and all attached devices passed a connectivity test.,Digital Workplace,common,Hardware,incident,"[""desktop support"",""hardware diagnostics""]",USB-C docking,L1,End User Computing,"Reseat the dock, update its firmware, and test display and network ports."
6eefbd919d43060e23fbfc69b9e3a3cd,INC1000005,Outlook shared mailbox stops synchronizing - SITE-E,EMP1148 reports outlook shared mailbox stops synchronizing at SITE-E. The issue started 5 hour(s) ago on MICRO-124. A restart did not change the behavior. 7 users or sessions may be affected.,Closed,1,2,2,Email,Shared mailbox,Messaging Services,EMP1148,2026-01-08T11:30:00Z,2026-01-08T17:30:00Z,Solved (Work Around),Stale automapping was removed and recreated; the shared mailbox now synchronizes and sends normally.,Corporate Messaging,common,Email,incident,"[""Exchange administration"",""Outlook troubleshooting""]",Microsoft Exchange Online,L2,Messaging Services,"Validate delegation, rebuild the cached mailbox mapping, and test send and receive."
6e6899a64e38723fd140252070d3f883,INC1000006,Intermittent DNS failures affect several services - SITE-F,"EMP1185 reports intermittent dns failures affect several services at SITE-F. The issue started 6 hour(s) ago on INFOB-125. A retry briefly helped, but the symptom returned. 8 users or sessions may be affected.",In Progress,2,3,4,Network,DNS,Core Infrastructure,EMP1185,2026-01-09T06:30:00Z,2026-01-09T13:30:00Z,,,Enterprise DNS,common,Network,incident,"[""DNS engineering"",""distributed systems""]",Infoblox DNS,L3,Core Infrastructure,"Escalate with resolver traces, failure timestamps, and affected zones to the core infrastructure team."
263c79f8f9a026e3c0c03f3430512e6b,INC1000007,Browser shows stale employee portal page - SITE-G,EMP1222 reports browser shows stale employee portal page at SITE-G. The issue started 7 hour(s) ago on MICRO-126. A restart did not change the behavior. 9 users or sessions may be affected.,New,2,3,4,Software,Web browser,Service Desk,EMP1222,2026-01-10T01:30:00Z,2026-01-10T09:30:00Z,,,Employee Portal,common,Software,incident,"[""browser troubleshooting"",""cache management""]",Microsoft Edge,L1,Service Desk,Clear site data for the portal and retry in a supported browser profile.
e22726e6a8b6bbcafdf2efc64b2bf44f,INC1000008,ERP approval screen returns authorization error - SITE-H,"EMP1259 reports erp approval screen returns authorization error at SITE-H. The issue started 8 hour(s) ago on SAPSH-127. A retry briefly helped, but the symptom returned. 10 users or sessions may be affected.",In Progress,1,2,2,Software,ERP workflow,Business Applications,EMP1259,2026-01-10T20:30:00Z,2026-01-11T05:30:00Z,,,Finance ERP,common,Software,incident,"[""SAP authorization"",""application support""]",SAP S/4HANA,L2,Business Applications,Compare the user role with the approved job profile and repair the missing workflow authorization.
53f76bda2b5ee41f7ef28b386836ba51,INC1000009,Identity tokens rejected after signing-key rotation - SITE-A,EMP1296 reports identity tokens rejected after signing-key rotation at SITE-A. The issue started 9 hour(s) ago on OPENI-128. A restart did not change the behavior. 11 users or sessions may be affected.,On Hold,2,3,4,Security,Federated authentication,Identity Engineering,EMP1296,2026-01-11T15:30:00Z,2026-01-12T01:30:00Z,,,Workforce Identity,common,Security,security event,"[""identity engineering"",""PKI"",""application integration""]",OpenID Connect,L3,Identity Engineering,"Escalate with token headers, issuer metadata, and key identifiers; do not bypass signature validation."
ddf66e15c06db06db433824e54060c61,INC1000010,Office printer queue remains paused - SITE-B,"EMP1333 reports office printer queue remains paused at SITE-B. The issue started 1 hour(s) ago on WINDO-129. A retry briefly helped, but the symptom returned. 12 users or sessions may be affected.",Resolved,2,3,4,Hardware,Printing,Service Desk,EMP1333,2026-01-12T10:30:00Z,2026-01-12T21:30:00Z,Solved (Permanently),"The stalled job was removed, the queue resumed, and a test page printed successfully.",Managed Printing,common,Hardware,incident,"[""print support"",""Windows troubleshooting""]",Windows Print Spooler,L1,Service Desk,"Resume the queue, clear the stalled job, and print a test page."
