sys_id,number,short_description,description,catalog_item,request_type,state,stage,approval,priority,assignment_group,requested_for,requested_by,opened_at,due_date,quantity,price,currency,business_service,comments,_test_scenario,_expected_assignment_group,_expected_agent_action
779c62817a44528ee00308e5e5ff89a4,REQ3000001,Request access to finance reporting - EMP1265,EMP1265 requests finance reporting access for project PRJ-400. Needed by 2026-01-06; delivery location SITE-A. Business reason: approved project onboarding and standard role duties.,Finance Reporting Access,Access,Pending Approval,Awaiting Approval,Requested,3,Identity and Access,EMP1265,EMP1318,2026-01-05T08:30:00Z,2026-01-06T08:30:00Z,1,0,EUR,Analytics Platform,Requester confirmed 1 item(s) and cost center CC-100.,common,Identity and Access,"Validate manager and data-owner approval, then assign the approved reporting role."
5471108a95ae483cb07beef053b5f5e7,REQ3000002,Order standard developer laptop - EMP1302,EMP1302 requests developer laptop for project PRJ-401. Needed by 2026-01-07; delivery location SITE-B. Business reason: approved project onboarding and standard role duties.,Developer Laptop,Hardware,Open,Request Approved,Approved,4,End User Computing,EMP1302,EMP1302,2026-01-06T03:30:00Z,2026-01-07T15:30:00Z,1,1649,EUR,Digital Workplace,Requester confirmed 1 item(s) and cost center CC-101.,common,End User Computing,"Confirm cost-center approval, reserve a standard build, and schedule delivery."
bfff9139372a4def8182b4fb2922d860,REQ3000003,Install approved diagramming software - EMP1339,EMP1339 requests diagramming software for project PRJ-402. Needed by 2026-01-08; delivery location SITE-C. Business reason: approved project onboarding and standard role duties.,Diagramming Software,Software,Work in Progress,Fulfillment,Approved,4,Software Fulfillment,EMP1339,EMP1339,2026-01-06T22:30:00Z,2026-01-08T22:30:00Z,1,145,EUR,Digital Workplace,Requester confirmed 1 item(s) and cost center CC-102.,common,Software Fulfillment,"Verify license availability and approval, then deploy the managed package."
b1391b08b9041c48639b67a3b6731787,REQ3000004,Create project collaboration workspace - EMP1376,EMP1376 requests collaboration workspace for project PRJ-403. Needed by 2026-01-10; delivery location SITE-D. Business reason: approved project onboarding and standard role duties.,Collaboration Workspace,Workplace,Closed Complete,Completed,Not Required,4,Collaboration Services,EMP1376,EMP1376,2026-01-07T17:30:00Z,2026-01-10T05:30:00Z,1,0,EUR,Collaboration Suite,Requester confirmed 1 item(s) and cost center CC-103.,common,Collaboration Services,"Validate the workspace owner and classification, then provision the standard template."
4ade812db7359a9e8cef0240fed5ee62,REQ3000005,Provide retention policy information - EMP1413,EMP1413 requests records retention guidance for project PRJ-404. Needed by 2026-01-11; delivery location SITE-E. Business reason: approved project onboarding and standard role duties.,Records Retention Guidance,Information,Open,Request Approved,Not Required,4,Information Governance,EMP1413,EMP1413,2026-01-08T12:30:00Z,2026-01-11T12:30:00Z,1,0,EUR,,Requester confirmed 1 item(s) and cost center CC-104.,common,Information Governance,Send the approved retention guidance and route policy exceptions to Information Governance.
fa843043cd713bde3e8107b10a435110,REQ3000006,Request temporary vendor VPN access - EMP1450,EMP1450 requests external user vpn access for project PRJ-405. Needed by 2026-01-12; delivery location SITE-F. Business reason: approved project onboarding and standard role duties.,External User VPN Access,Access,Work in Progress,Fulfillment,Approved,4,Identity and Access,EMP1450,EMP1450,2026-01-09T07:30:00Z,2026-01-12T19:30:00Z,1,0,EUR,Remote Access,Requester confirmed 1 item(s) and cost center CC-105.,common,Identity and Access,"Confirm sponsor, end date, security approval, and least-privilege group before provisioning."
14fc853c3b3addf995f8403dcaec0dbb,REQ3000007,Order replacement headset - EMP1007,EMP1007 requests standard usb headset for project PRJ-406. Needed by 2026-01-14; delivery location SITE-G. Business reason: approved project onboarding and standard role duties.,Standard USB Headset,Hardware,Pending Approval,Awaiting Approval,Requested,3,Workplace Fulfillment,EMP1007,EMP1007,2026-01-10T02:30:00Z,2026-01-14T02:30:00Z,1,79,EUR,Digital Workplace,Requester confirmed 1 item(s) and cost center CC-106.,common,Workplace Fulfillment,Confirm delivery location and dispatch the standard stocked headset.
8856af462baefbc59f8a2978958b5331,REQ3000008,Provision managed database sandbox - EMP1044,EMP1044 requests database sandbox for project PRJ-407. Needed by 2026-01-15; delivery location SITE-H. Business reason: approved project onboarding and standard role duties.,Database Sandbox,Software,Open,Request Approved,Approved,4,Database Platform,EMP1044,EMP1044,2026-01-10T21:30:00Z,2026-01-15T09:30:00Z,1,420,EUR,Developer Platform,Requester confirmed 1 item(s) and cost center CC-107.,common,Database Platform,"Validate environment owner, data classification, budget, expiry, and sizing before provisioning."
efdcd26ee60025832532bbfb9ec20660,REQ3000009,Request access to finance reporting - EMP1081,EMP1081 requests finance reporting access for project PRJ-408. Needed by 2026-01-16; delivery location SITE-A. Business reason: approved project onboarding and standard role duties.,Finance Reporting Access,Access,Work in Progress,Fulfillment,Approved,4,Identity and Access,EMP1081,EMP1081,2026-01-11T16:30:00Z,2026-01-16T16:30:00Z,1,0,EUR,Analytics Platform,Requester confirmed 1 item(s) and cost center CC-108.,common,Identity and Access,"Validate manager and data-owner approval, then assign the approved reporting role."
647ea42bf048209f5b9483dca2989534,REQ3000010,Order standard developer laptop - EMP1118,EMP1118 requests developer laptop for project PRJ-409. Needed by 2026-01-17; delivery location SITE-B. Business reason: approved project onboarding and standard role duties.,Developer Laptop,Hardware,Closed Complete,Completed,Approved,4,End User Computing,EMP1118,EMP1171,2026-01-12T11:30:00Z,2026-01-17T23:30:00Z,1,1649,EUR,Digital Workplace,Requester confirmed 1 item(s) and cost center CC-109.,common,End User Computing,"Confirm cost-center approval, reserve a standard build, and schedule delivery."
