sys_id,number,short_description,description,type,state,risk,impact,priority,assignment_group,requested_by,business_service,planned_start_date,planned_end_date,implementation_plan,backout_plan,test_plan,close_code,close_notes,_test_scenario,_expected_assignment_group,_expected_agent_action
647bce82ae71ef05ed410af204990e60,CHG2000001,Patch customer portal application nodes - REGION-1,Patch customer portal application nodes for Customer Portal. The change removes a documented operational risk and follows the Kubernetes maintenance baseline. Window owner is EMP1159; affected region is REGION-1.,Normal,New,Moderate,2,3,Web Platform,EMP1159,Customer Portal,2026-09-20T20:00:00Z,2026-09-20T22:00:00Z,"Drain one node at a time, apply the approved image, run health checks, then return the node to service.",Redeploy the previous signed image and restore the prior deployment manifest.,"Verify pods are ready, synthetic login succeeds, and error rate remains below baseline.",,,common,Web Platform,"Assess scope, risk, dependencies, approvals, schedule, and plan completeness."
9e0b326000660390d2181642d4cec73d,CHG2000002,Rotate database service credentials - REGION-2,Rotate database service credentials for Finance ERP. The change removes a documented operational risk and follows the PostgreSQL maintenance baseline. Window owner is EMP1196; affected region is REGION-2.,Normal,Assess,High,1,1,Database Platform,EMP1196,Finance ERP,2026-09-22T03:00:00Z,2026-09-22T06:00:00Z,"Create the replacement credential, update the vault reference, recycle connections in sequence, and revoke the old credential.","Restore the previous vault version, recycle connections, and re-enable the prior credential.","Run read/write probes, validate scheduled jobs, and confirm no authentication failures in logs.",,,common,Database Platform,"Assess scope, risk, dependencies, approvals, schedule, and plan completeness."
0f760d59a5724307a53818699c47ac37,CHG2000003,Add approved firewall rule for reporting API - REGION-3,Add approved firewall rule for reporting API for Analytics Platform. The change removes a documented operational risk and follows the Palo Alto Networks maintenance baseline. Window owner is EMP1233; affected region is REGION-3.,Normal,Authorize,Moderate,2,3,Network Security,EMP1233,Analytics Platform,2026-09-23T10:00:00Z,2026-09-23T14:00:00Z,Commit the peer-reviewed rule to the limited source and destination objects during the change window.,"Disable and remove the new rule, commit the policy, and verify the prior rulebase checksum.","Test the approved TCP path, confirm denied paths remain blocked, and review firewall logs.",,,common,Network Security,Obtain the required technical and business approvals before scheduling.
c2a77497b67d9646d82bf4cc03f70549,CHG2000004,Upgrade managed laptop browser baseline - REGION-4,Upgrade managed laptop browser baseline for Digital Workplace. The change removes a documented operational risk and follows the Microsoft Edge maintenance baseline. Window owner is EMP1270; affected region is REGION-4.,Normal,Scheduled,Low,3,4,End User Computing,EMP1270,Digital Workplace,2026-09-24T17:00:00Z,2026-09-24T22:00:00Z,Promote the tested browser package to the next deployment ring and monitor installation telemetry.,Withdraw the package and redeploy the prior enterprise version to the affected ring.,"Confirm installation, launch, SSO, and the five managed web applications on pilot devices.",,,common,End User Computing,"Confirm implementer readiness, monitoring, communications, and the approved change window."
6fbda51b2a2509d5b88bb248ad12459c,CHG2000005,Increase message broker partition count - REGION-1,Increase message broker partition count for Integration Hub. The change removes a documented operational risk and follows the Apache Kafka maintenance baseline. Window owner is EMP1307; affected region is REGION-1.,Normal,Implement,High,1,1,Platform Engineering,EMP1307,Integration Hub,2026-09-26T00:00:00Z,2026-09-26T06:00:00Z,"Capture lag, apply the reviewed reassignment plan in stages, and monitor broker and consumer load.",Stop reassignment and apply the saved allocation plan; scale consumers to absorb residual backlog.,"Validate partition health, consumer lag, throughput, and ordering for the test topic.",,,common,Platform Engineering,Execute the approved plan and record validation evidence and deviations.
a2be97df8f04523a81864c0f42cd4baf,CHG2000006,Renew public TLS certificate - REGION-2,Renew public TLS certificate for Partner API. The change removes a documented operational risk and follows the TLS PKI maintenance baseline. Window owner is EMP1344; affected region is REGION-2.,Normal,Review,Moderate,1,3,Security Engineering,EMP1344,Partner API,2026-09-27T07:00:00Z,2026-09-27T14:00:00Z,"Install the renewed certificate and chain on standby endpoints, validate, then switch traffic gradually.",Restore the previous certificate bundle and reload the endpoint configuration.,"Check chain validity, hostname coverage, expiry, TLS negotiation, and partner connectivity.",,,common,Security Engineering,Complete post-implementation review and determine the close code.
ab3247e2abbe5c65eef887eef587c81b,CHG2000007,Deploy standard monitoring agent - REGION-3,Deploy standard monitoring agent for Infrastructure Monitoring. The change removes a documented operational risk and follows the OpenTelemetry maintenance baseline. Window owner is EMP1381; affected region is REGION-3.,Normal,Closed,Low,3,4,Cloud Operations,EMP1381,Infrastructure Monitoring,2026-09-28T14:00:00Z,2026-09-28T22:00:00Z,Apply the approved agent package and standard policy through configuration management.,Remove the agent package and restore the saved service configuration.,"Confirm service health, metrics ingestion, log forwarding, and normal host resource use.",Successful,Implemented as planned; validation passed and monitoring remained normal.,common,Cloud Operations,Verify closure evidence and retain the implementation record.
98ea536f63e074874d7d6acbcde13c0d,CHG2000008,Update identity provider signing key - REGION-4,Update identity provider signing key for Workforce Identity. The change removes a documented operational risk and follows the OpenID Connect maintenance baseline. Window owner is EMP1418; affected region is REGION-4.,Normal,Scheduled,High,1,1,Identity Engineering,EMP1418,Workforce Identity,2026-09-29T21:00:00Z,2026-09-29T23:00:00Z,"Publish the new key, allow cache propagation, rotate signing, and retain the old key through the overlap window.",Resume signing with the prior protected key and republish its metadata entry.,Validate token signatures and sign-in for every tier-one relying application.,,,common,Identity Engineering,"Confirm implementer readiness, monitoring, communications, and the approved change window."
06bb8a50ce7679bd5737ede312701e6b,CHG2000009,Patch customer portal application nodes - REGION-1,Patch customer portal application nodes for Customer Portal. The change removes a documented operational risk and follows the Kubernetes maintenance baseline. Window owner is EMP1455; affected region is REGION-1.,Normal,New,Moderate,2,3,Web Platform,EMP1455,Customer Portal,2026-10-01T04:00:00Z,2026-10-01T07:00:00Z,"Drain one node at a time, apply the approved image, run health checks, then return the node to service.",Redeploy the previous signed image and restore the prior deployment manifest.,"Verify pods are ready, synthetic login succeeds, and error rate remains below baseline.",,,common,Web Platform,"Assess scope, risk, dependencies, approvals, schedule, and plan completeness."
59c7f171295e605d4e5e4f133bbf68ec,CHG2000010,Rotate database service credentials - REGION-2,Rotate database service credentials for Finance ERP. The change removes a documented operational risk and follows the PostgreSQL maintenance baseline. Window owner is EMP1012; affected region is REGION-2.,Normal,Assess,High,1,1,Database Platform,EMP1012,Finance ERP,2026-10-02T11:00:00Z,2026-10-02T15:00:00Z,"Create the replacement credential, update the vault reference, recycle connections in sequence, and revoke the old credential.","Restore the previous vault version, recycle connections, and re-enable the prior credential.","Run read/write probes, validate scheduled jobs, and confirm no authentication failures in logs.",,,common,Database Platform,"Assess scope, risk, dependencies, approvals, schedule, and plan completeness."
